,,,,,,,,,
,Released,Released,Title,Genre,"Production
Budget","Domestic
Box Office","International
Box Office","Worldwide
Box Office",
,52,"Nov 21, 2008",2008,Twilight,Drama,"$37,000,000","$192,769,854","$209,510,305","$402,280,159"
,53,"Jun 13, 2014",2014,22 Jump Street,Comedy,"$50,000,000","$191,719,337","$139,614,539","$331,333,876"
,54,"Dec 14, 2018",2018,Spider-Man: Into The Spider-Verse 3D,Adventure,"$90,000,000","$190,173,195","$185,069,944","$375,243,139"
,55,"May 15, 2015",2015,Pitch Perfect 2,Comedy,"$29,000,000","$184,296,230","$103,329,238","$287,625,468"
,56,"Dec 7, 2001",2001,Ocean's Eleven,Thriller/Suspense,"$85,000,000","$183,417,150","$267,311,379","$450,728,529"
,57,"Jul 27, 2007",2007,The Simpsons Movie,Adventure,"$72,500,000","$183,135,014","$343,936,008","$527,071,022"
,58,"Dec 15, 2000",2000,What Women Want,Romantic Comedy,"$65,000,000","$182,805,123","$191,300,000","$374,105,123"
,59,"Nov 9, 2012",2012,Lincoln,Drama,"$65,000,000","$182,207,973","$91,138,308","$273,346,281"
,60,"Jul 18, 2001",2001,Jurassic Park III,Action,"$93,000,000","$181,166,115","$184,733,885","$365,900,000"
,61,"Jul 27, 2001",2001,Planet of the Apes,Adventure,"$100,000,000","$180,011,740","$182,200,000","$362,211,740"
,62,"Feb 11, 2005",2005,Hitch,Romantic Comedy,"$55,000,000","$177,784,257","$189,000,000","$366,784,257"
,63,"Aug 5, 2011",2011,Rise of the Planet of the Apes,Adventure,"$93,000,000","$176,760,185","$294,226,015","$470,986,200"
,64,"Jun 11, 2010",2010,The Karate Kid,Adventure,"$40,000,000","$176,591,618","$175,183,320","$351,774,938"
,65,"Mar 15, 2002",2002,Ice Age,Adventure,"$65,000,000","$176,387,405","$209,728,938","$386,116,343"
,66,"Jul 23, 2004",2004,The Bourne Supremacy,Thriller/Suspense,"$85,000,000","$176,087,450","$134,913,674","$311,001,124"
,67,"Feb 10, 2017",2017,The Lego Batman Movie,Adventure,"$80,000,000","$175,750,384","$134,909,634","$310,660,018"
,68,"Mar 22, 2019",2019,Us,Thriller/Suspense,"$20,000,000","$175,084,580","$81,084,499","$256,169,079"
,69,"Nov 7, 2003",2003,Elf,Adventure,"$32,000,000","$174,626,840","$46,837,892","$221,464,732"
,70,"Aug 15, 2018",2018,Crazy Rich Asians,Romantic Comedy,"$30,000,000","$174,532,921","$63,566,790","$238,099,711"
,71,"Dec 20, 2017",2017,The Greatest Showman,Musical,"$84,000,000","$174,340,174","$266,633,348","$440,973,522"
,72,"Nov 19, 2004",2004,National Treasure,Adventure,"$100,000,000","$173,005,002","$158,318,408","$331,323,410"
,73,"Dec 22, 2010",2010,True Grit,Western,"$35,000,000","$171,243,005","$81,033,923","$252,276,928"
,74,"May 17, 2019",2019,John Wick: Chapter 3 — Parabellum,Action,"$40,000,000","$171,015,687","$154,770,095","$325,785,782"
,75,"Dec 21, 2001",2001,A Beautiful Mind,Drama,"$78,000,000","$170,708,996","$146,959,062","$317,668,058"
,76,"Dec 27, 2002",2002,Chicago,Musical,"$30,000,000","$170,687,518","$136,083,027","$306,770,545"
,77,"Aug 10, 2011",2011,The Help,Drama,"$25,000,000","$169,705,587","$43,414,417","$213,120,004"
,78,"Sep 25, 2015",2015,Hotel Transylvania 2,Adventure,"$80,000,000","$169,700,110","$299,800,188","$469,500,298"
,79,"Dec 25, 2016",2016,Hidden Figures,Drama,"$25,000,000","$169,607,287","$62,164,429","$231,771,716"
,80,"May 13, 2011",2011,Bridesmaids,Comedy,"$32,500,000","$169,211,718","$120,420,305","$289,632,023"
,81,"Mar 2, 2007",2007,Wild Hogs,Comedy,"$60,000,000","$168,213,584","$85,341,799","$253,555,383"
,82,"Oct 3, 2014",2014,Gone Girl,Thriller/Suspense,"$61,000,000","$167,767,189","$200,800,000","$368,567,189"
,83,"Jul 13, 2018",2018,Hotel Transylvania 3: Summer Vacation,Adventure,"$65,000,000","$167,500,092","$359,560,906","$527,060,998"
,84,"Oct 6, 2000",2000,Meet the Parents,Comedy,"$55,000,000","$166,225,040","$164,200,000","$330,425,040"
,85,"Feb 13, 2015",2015,Fifty Shades of Grey,Drama,"$40,000,000","$166,167,230","$404,830,871","$570,998,101"
,86,"Nov 27, 2019",2019,Knives Out,Drama,"$40,000,000","$165,363,254","$140,734,472","$306,097,726"
,87,"Feb 9, 2001",2001,Hannibal,Horror,"$87,000,000","$165,092,266","$185,008,014","$350,100,280"
,88,"Dec 25, 2002",2002,Catch Me if You Can,Drama,"$52,000,000","$164,606,800","$191,005,491","$355,612,291"
,89,"Jun 19, 2009",2009,The Proposal,Romantic Comedy,"$40,000,000","$163,958,031","$150,751,686","$314,709,717"
,90,"Feb 6, 2015",2015,The SpongeBob Movie: Sponge Out of Water,Adventure,"$74,000,000","$162,994,032","$148,019,149","$311,013,181"
,91,"Dec 25, 2012",2012,Django Unchained,Western,"$100,000,000","$162,805,434","$287,036,132","$449,841,566"
,92,"Dec 15, 2006",2006,The Pursuit of Happyness,Drama,"$55,000,000","$162,586,036","$144,725,057","$307,311,093"
,93,"Jun 25, 2010",2010,Grown Ups,Comedy,"$75,000,000","$162,001,186","$110,222,244","$272,223,430"
,94,"Oct 1, 2004",2004,Shark Tale,Adventure,"$75,000,000","$161,412,000","$210,505,043","$371,917,043"
,95,"Jul 13, 2012",2012,Ice Age: Continental Drift,Adventure,"$95,000,000","$161,321,843","$718,443,294","$879,765,137"
,96,"Aug 14, 2015",2015,Straight Outta Compton,Drama,"$28,000,000","$161,197,785","$40,985,196","$202,182,981"
,97,"Jun 28, 2013",2013,The Heat,Comedy,"$43,000,000","$159,581,587","$70,146,187","$229,727,774"
,98,"Dec 25, 2019",2019,1917,Thriller/Suspense,"$100,000,000","$159,227,644","$200,850,096","$360,077,740"
,99,"Jun 7, 2019",2019,The Secret Life of Pets 2,Adventure,"$80,000,000","$158,874,395","$275,565,120","$434,439,515"
,100,"May 27, 2005",2005,The Longest Yard,Comedy,"$82,000,000","$158,119,460","$33,439,045","$191,558,505"
